### NAN ROWS
county,customers_served,customers_affected,customers_out_now,timestamp,EMC,source_file,percent_out


### NAN COUNTS
county,customers_affected,customers_out_now,customers_served
Adair,0,9,0
Arkansas,0,0,0
Bradley,0,0,0
Butler,0,21,0
Cherokee,0,9,0
Clark,0,8,0
Cleburne,0,0,0
Cleveland,0,0,0
Faulkner,0,14,0
Grant,0,0,0
Lincoln,0,0,0
Lonoke,0,0,0
Madison,0,13,0
Miller,0,13,13
Nevada,0,9,0
Perry,0,0,0
Polk,0,8,8
Pulaski,0,0,0
Ripley,0,2,0
Saline,0,0,0
Stoddard,0,3,0
UNKNOWN,0,9,9
Washington,0,25,0
Wayne,0,7,0
White,0,0,0


### NAN TOTALS
county,customers_affected,customers_out_now,customers_served,total_nans
Adair,0,9,0,9
Arkansas,0,0,0,0
Bradley,0,0,0,0
Butler,0,21,0,21
Cherokee,0,9,0,9
Clark,0,8,0,8
Cleburne,0,0,0,0
Cleveland,0,0,0,0
Faulkner,0,14,0,14
Grant,0,0,0,0
Lincoln,0,0,0,0
Lonoke,0,0,0,0
Madison,0,13,0,13
Miller,0,13,13,26
Nevada,0,9,0,9
Perry,0,0,0,0
Polk,0,8,8,16
Pulaski,0,0,0,0
Ripley,0,2,0,2
Saline,0,0,0,0
Stoddard,0,3,0,3
UNKNOWN,0,9,9,18
Washington,0,25,0,25
Wayne,0,7,0,7
White,0,0,0,0
