ID,county,customers_affected,customers_served,start_time,end_time,lower_bound_customers_affected,duration
1,autauga,4,29644,2024-05-23 17:10:21,2024-05-23 19:10:23,5,0 days 02:00:02
2,autauga,5,29644,2024-05-23 22:10:24,2024-05-23 22:10:24,5,0 days 00:00:00
3,autauga,5,29644,2024-05-23 18:07:36,2024-05-23 20:52:35,5,0 days 02:44:59
1,baldwin,0,0,,,0,0 days 00:00:00
1,barbour,2,10875,2024-05-23 19:40:01,2024-05-23 20:25:01,80,0 days 00:45:00
2,barbour,80,10875,2024-05-23 19:55:25,2024-05-23 23:40:28,80,0 days 03:45:03
1,bibb,0,0,,,0,0 days 00:00:00
1,blount,12,31782,2024-05-23 18:10:26,2024-05-23 20:10:25,45,0 days 01:59:59
2,blount,45,31782,2024-05-23 22:40:25,2024-05-23 23:55:22,45,0 days 01:14:57
1,bullock,0,0,,,0,0 days 00:00:00
1,butler,0,0,,,0,0 days 00:00:00
1,calhoun,9,56219,2024-05-23 17:10:21,2024-05-23 20:55:25,9,0 days 03:45:04
2,calhoun,6,56219,2024-05-23 23:25:25,2024-05-23 23:55:22,9,0 days 00:29:57
1,chambers,4,11720,2024-05-23 17:40:19,2024-05-23 20:55:25,4,0 days 03:15:06
2,chambers,4,11720,2024-05-23 23:55:22,2024-05-23 23:55:22,4,0 days 00:00:00
1,cherokee,0,0,,,0,0 days 00:00:00
1,chilton,0,0,,,0,0 days 00:00:00
1,choctaw,4,2856,2024-05-23 18:55:23,2024-05-23 19:55:25,4,0 days 01:00:02
1,clarke,59,7739,2024-05-23 17:40:19,2024-05-23 18:55:23,59,0 days 01:15:04
1,clay,4,6371,2024-05-23 17:10:21,2024-05-23 17:40:19,4,0 days 00:29:58
1,cleburne,4,9750,2024-05-23 17:40:19,2024-05-23 23:25:25,61,0 days 05:45:06
2,cleburne,61,9750,2024-05-23 17:08:02,2024-05-23 23:53:02,61,0 days 06:45:00
1,coffee,4,14888,2024-05-23 17:10:21,2024-05-23 17:10:21,4,0 days 00:00:00
2,coffee,4,14888,2024-05-23 22:25:22,2024-05-23 23:25:25,4,0 days 01:00:03
1,colbert,0,0,,,0,0 days 00:00:00
1,conecuh,0,0,,,0,0 days 00:00:00
1,coosa,0,0,,,0,0 days 00:00:00
1,covington,0,0,,,0,0 days 00:00:00
1,crenshaw,97,4927,2024-05-23 18:52:55,2024-05-23 19:55:04,97,0 days 01:02:09
2,crenshaw,14,4927,2024-05-23 23:22:54,2024-05-23 23:52:56,97,0 days 00:30:02
1,cullman,0,0,,,0,0 days 00:00:00
1,dale,27,18509,2024-05-23 17:10:01,2024-05-23 17:55:01,27,0 days 00:45:00
2,dale,4,18509,2024-05-23 17:40:19,2024-05-23 20:10:25,27,0 days 02:30:06
1,dallas,4,21226,2024-05-23 18:55:23,2024-05-23 19:40:21,21,0 days 00:44:58
2,dallas,21,21226,2024-05-23 17:37:51,2024-05-23 18:37:49,21,0 days 00:59:58
1,dekalb,1,6808,2024-05-23 17:22:50,2024-05-23 18:07:47,1,0 days 00:44:57
2,dekalb,1,6808,2024-05-23 20:37:47,2024-05-23 21:52:47,1,0 days 01:15:00
1,elmore,12,29127,2024-05-23 17:10:21,2024-05-23 17:10:21,12,0 days 00:00:00
2,elmore,4,29127,2024-05-23 20:40:21,2024-05-23 21:10:23,12,0 days 00:30:02
1,escambia,4,11509,2024-05-23 17:10:21,2024-05-23 17:40:19,4,0 days 00:29:58
2,escambia,4,11509,2024-05-23 22:40:25,2024-05-23 23:10:22,4,0 days 00:29:57
1,etowah,4,54215,2024-05-23 18:10:26,2024-05-23 19:40:21,4,0 days 01:29:55
2,etowah,4,54215,2024-05-23 20:55:25,2024-05-23 21:40:21,4,0 days 00:44:56
1,fayette,16,10566,2024-05-23 17:10:21,2024-05-23 18:10:26,16,0 days 01:00:05
2,fayette,4,10566,2024-05-23 23:55:22,2024-05-23 23:55:22,16,0 days 00:00:00
1,franklin,0,0,,,0,0 days 00:00:00
1,geneva,16,7410,2024-05-23 19:55:25,2024-05-23 20:10:25,16,0 days 00:15:00
1,greene,4,2580,2024-05-23 20:55:25,2024-05-23 20:55:25,4,0 days 00:00:00
1,hale,26,7010,2024-05-23 17:10:21,2024-05-23 17:10:21,26,0 days 00:00:00
1,henry,4,8041,2024-05-23 20:55:25,2024-05-23 20:55:25,4,0 days 00:00:00
1,houston,4,12010,2024-05-23 17:10:21,2024-05-23 17:40:19,4,0 days 00:29:58
2,houston,4,12010,2024-05-23 18:55:23,2024-05-23 20:10:25,4,0 days 01:15:02
3,houston,4,12010,2024-05-23 22:25:22,2024-05-23 23:55:22,4,0 days 01:30:00
1,jackson,0,55455,,,0,0 days 00:00:00
1,jefferson,233,327902,2024-05-23 17:10:21,2024-05-23 23:55:22,233,0 days 06:45:01
1,lamar,1,9139,2024-05-23 17:08:04,2024-05-23 17:38:03,7,0 days 00:29:59
2,lamar,1,9139,2024-05-23 19:55:10,2024-05-23 21:08:01,7,0 days 01:12:51
