County,Total Customers Served
autauga,29644
baldwin,0
barbour,10875
bibb,0
blount,31782
bullock,0
butler,0
calhoun,56219
chambers,11720
cherokee,0
chilton,0
choctaw,2856
clarke,7739
clay,6371
cleburne,9750
coffee,14888
colbert,0
conecuh,0
coosa,0
covington,0
crenshaw,4927
cullman,0
dale,18509
dallas,21226
dekalb,6808
elmore,29127
escambia,11509
etowah,54215
fayette,10566
franklin,0
geneva,7410
greene,2580
hale,7010
henry,8041
houston,12010
jackson,55455
jefferson,327902
lamar,9139
lauderdale,0
lawrence,0
lee,29164
limestone,0
lowndes,3517
macon,0
madison,0
marengo,0
marion,12398
marshall,15682
mobile,209826
monroe,7372
montgomery,100029
morgan,0
perry,6377
pickens,11422
pike,9423
randolph,17714
russell,22566
shelby,109123
st. clair,47687
sumter,0
talladega,40416
tallapoosa,21406
tuscaloosa,111526
walker,38733
washington,0
wilcox,5434
winston,0
