County,EMC,Customers Served,Last Updated
autauga,Alabama Power,17565.0,2024-05-23 22:10:24
autauga,Central Alabama Electric Coop,12079.0,2024-05-23 20:52:35
barbour,Alabama Power,10875.0,2024-05-23 23:40:28
barbour,PEA River Electric Coop,0.0,2024-05-23 20:25:01
blount,Alabama Power,31782.0,2024-05-23 23:55:22
calhoun,Alabama Power,56219.0,2024-05-23 23:55:22
chambers,Alabama Power,11720.0,2024-05-23 23:55:22
choctaw,Alabama Power,2856.0,2024-05-23 19:55:25
clarke,Alabama Power,7739.0,2024-05-23 18:55:23
clay,Alabama Power,6371.0,2024-05-23 17:40:19
cleburne,Alabama Power,9686.0,2024-05-23 23:25:25
cleburne,Tallapoosa River Electric Coop,64.0,2024-05-23 23:53:02
coffee,Alabama Power,14888.0,2024-05-23 23:25:25
crenshaw,South Alabama Electric Coop,4927.0,2024-05-23 23:52:56
dale,Alabama Power,18509.0,2024-05-23 20:10:25
dale,PEA River Electric Coop,0.0,2024-05-23 17:55:01
dallas,Alabama Power,18400.0,2024-05-23 19:40:21
dallas,Pioneer Electric Coop,2826.0,2024-05-23 18:37:49
dekalb,Marshall-DeKalb Electric Coop,6808.0,2024-05-23 21:52:47
elmore,Alabama Power,29127.0,2024-05-23 20:55:25
escambia,Alabama Power,11509.0,2024-05-23 23:10:22
etowah,Alabama Power,54215.0,2024-05-23 21:40:21
fayette,Alabama Power,10566.0,2024-05-23 23:55:22
geneva,Alabama Power,7410.0,2024-05-23 20:10:25
greene,Alabama Power,2580.0,2024-05-23 20:55:25
hale,Alabama Power,7010.0,2024-05-23 17:10:21
henry,Alabama Power,8041.0,2024-05-23 20:55:25
houston,Alabama Power,12010.0,2024-05-23 23:55:22
jackson,Singing River Electric,55455.0,2024-05-23 23:07:55
jefferson,Alabama Power,327902.0,2024-05-23 23:55:22
lamar,Alabama Power,5901.0,2024-05-23 19:55:25
lamar,Tombigbee Electric Coop,3238.0,2024-05-23 21:08:01
lee,Tallapoosa River Electric Coop,9164.0,2024-05-23 17:08:02
lee,per_County_Opelika Power Services,20000.0,2024-05-23 23:53:29
lowndes,Alabama Power,3517.0,2024-05-23 23:55:22
marion,Alabama Power,12398.0,2024-05-23 20:55:25
marshall,Marshall-DeKalb Electric Coop,15682.0,2024-05-23 23:52:49
mobile,Alabama Power,209826.0,2024-05-23 23:55:22
monroe,Alabama Power,7372.0,2024-05-23 23:55:22
montgomery,Alabama Power,100029.0,2024-05-23 23:10:22
perry,Alabama Power,4806.0,2024-05-23 22:25:22
perry,Singing River Electric,1571.0,2024-05-23 22:22:52
pickens,Alabama Power,11422.0,2024-05-23 23:55:22
pike,South Alabama Electric Coop,9423.0,2024-05-23 23:52:56
randolph,Alabama Power,14028.0,2024-05-23 22:40:25
randolph,Tallapoosa River Electric Coop,3686.0,2024-05-23 22:22:58
russell,Alabama Power,22566.0,2024-05-23 23:55:22
shelby,Alabama Power,109123.0,2024-05-23 23:55:22
st. clair,Alabama Power,47687.0,2024-05-23 20:10:25
talladega,Alabama Power,28026.0,2024-05-23 23:55:22
talladega,Coosa Valley Electric Coop,12390.0,2024-05-23 23:52:37
tallapoosa,Alabama Power,21406.0,2024-05-23 23:55:22
tuscaloosa,Alabama Power,111526.0,2024-05-23 23:40:28
walker,Alabama Power,38733.0,2024-05-23 23:55:22
wilcox,Alabama Power,5434.0,2024-05-23 23:10:22
