County,# Out,% Out,timestamp,EMC
Lee,4,0.03%,05-23-2024 17:08:54,Opelika Power Services
Lee,4,0.03%,05-23-2024 17:23:31,Opelika Power Services
Lee,4,0.03%,05-23-2024 17:38:30,Opelika Power Services
Lee,4,0.03%,05-23-2024 17:53:30,Opelika Power Services
Lee,4,0.03%,05-23-2024 18:08:30,Opelika Power Services
Lee,4,0.03%,05-23-2024 18:23:29,Opelika Power Services
Lee,4,0.03%,05-23-2024 18:38:31,Opelika Power Services
Lee,4,0.03%,05-23-2024 18:53:29,Opelika Power Services
Lee,4,0.03%,05-23-2024 19:08:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 19:23:31,Opelika Power Services
Lee,2,0.01%,05-23-2024 19:38:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 19:53:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 20:08:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 20:23:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 20:38:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 20:53:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 21:08:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 21:23:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 21:38:28,Opelika Power Services
Lee,2,0.01%,05-23-2024 21:53:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 22:08:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 22:23:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 22:38:29,Opelika Power Services
Lee,2,0.01%,05-23-2024 22:53:30,Opelika Power Services
Lee,5,0.03%,05-23-2024 23:08:30,Opelika Power Services
Lee,5,0.03%,05-23-2024 23:23:31,Opelika Power Services
Lee,5,0.03%,05-23-2024 23:38:30,Opelika Power Services
Lee,2,0.01%,05-23-2024 23:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 00:08:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 00:23:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 00:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 00:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 01:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 01:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 01:38:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 01:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 02:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 02:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 02:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 02:53:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 03:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 03:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 03:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 03:53:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 04:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 04:23:28,Opelika Power Services
Lee,2,0.01%,05-24-2024 04:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 04:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 05:08:32,Opelika Power Services
Lee,2,0.01%,05-24-2024 05:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 05:38:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 05:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 06:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 06:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 06:38:28,Opelika Power Services
Lee,2,0.01%,05-24-2024 06:53:28,Opelika Power Services
Lee,2,0.01%,05-24-2024 07:08:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 07:23:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 07:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 07:53:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 08:08:30,Opelika Power Services
Lee,2,0.01%,05-24-2024 08:23:28,Opelika Power Services
Lee,2,0.01%,05-24-2024 08:38:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 08:53:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 09:08:29,Opelika Power Services
Lee,2,0.01%,05-24-2024 09:23:30,Opelika Power Services
