name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Autauga,2,2,12078,05-23-2024 18:07:36,Central Alabama Electric Coop
Autauga,3,3,12078,05-23-2024 19:07:37,Central Alabama Electric Coop
Autauga,3,3,12078,05-23-2024 19:22:35,Central Alabama Electric Coop
Autauga,3,3,12076,05-23-2024 19:37:36,Central Alabama Electric Coop
Autauga,5,5,12079,05-23-2024 20:37:36,Central Alabama Electric Coop
Autauga,5,5,12079,05-23-2024 20:52:35,Central Alabama Electric Coop
Elmore,1,1,17927,05-24-2024 02:07:35,Central Alabama Electric Coop
Talladega,1,1,449,05-24-2024 02:24:44,Central Alabama Electric Coop
Talladega,1,1,449,05-24-2024 02:37:35,Central Alabama Electric Coop
Talladega,1,1,449,05-24-2024 02:52:35,Central Alabama Electric Coop
Talladega,1,1,449,05-24-2024 03:07:35,Central Alabama Electric Coop
Talladega,1,1,449,05-24-2024 03:22:35,Central Alabama Electric Coop
Elmore,4,4,17927,05-24-2024 10:37:34,Central Alabama Electric Coop
Chilton,6,6,10431,05-24-2024 12:52:37,Central Alabama Electric Coop
Chilton,6,6,10431,05-24-2024 13:07:36,Central Alabama Electric Coop
Autauga,3,3,12081,05-24-2024 16:22:35,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 17:52:34,Central Alabama Electric Coop
Autauga,1,1,12081,05-24-2024 18:07:35,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 18:07:35,Central Alabama Electric Coop
Autauga,1,1,12081,05-24-2024 18:22:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 18:22:36,Central Alabama Electric Coop
Autauga,1,1,12081,05-24-2024 18:37:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 18:37:36,Central Alabama Electric Coop
Autauga,1,1,12082,05-24-2024 18:52:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 18:52:36,Central Alabama Electric Coop
Autauga,1,1,12082,05-24-2024 19:07:38,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 19:07:38,Central Alabama Electric Coop
Autauga,1,1,12079,05-24-2024 19:22:37,Central Alabama Electric Coop
Chilton,25,25,10425,05-24-2024 19:22:37,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 19:22:37,Central Alabama Electric Coop
Autauga,1,1,12079,05-24-2024 19:37:36,Central Alabama Electric Coop
Chilton,50,50,10425,05-24-2024 19:37:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 19:37:36,Central Alabama Electric Coop
Autauga,1,1,12080,05-24-2024 19:52:37,Central Alabama Electric Coop
Chilton,50,50,10425,05-24-2024 19:52:37,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 19:52:37,Central Alabama Electric Coop
Autauga,1,1,12080,05-24-2024 20:07:37,Central Alabama Electric Coop
Chilton,50,50,10425,05-24-2024 20:07:37,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 20:07:37,Central Alabama Electric Coop
Autauga,1,1,12084,05-24-2024 20:22:38,Central Alabama Electric Coop
Chilton,51,51,10432,05-24-2024 20:22:38,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 20:22:38,Central Alabama Electric Coop
Chilton,50,0,10432,05-24-2024 20:37:50,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 20:37:50,Central Alabama Electric Coop
Chilton,2,2,10432,05-24-2024 20:52:37,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 20:52:37,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 21:07:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 21:22:49,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 21:37:36,Central Alabama Electric Coop
Coosa,1,1,3288,05-24-2024 21:52:36,Central Alabama Electric Coop
Autauga,2,2,12084,05-25-2024 00:22:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-25-2024 03:37:35,Central Alabama Electric Coop
Coosa,1,1,3288,05-25-2024 06:37:34,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 12:22:37,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 12:37:36,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 12:52:37,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 13:07:36,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 13:22:36,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 13:37:37,Central Alabama Electric Coop
Autauga,8,8,12084,05-25-2024 13:52:36,Central Alabama Electric Coop
Chilton,22,22,10433,05-25-2024 15:07:34,Central Alabama Electric Coop
Autauga,3,3,12084,05-25-2024 15:22:49,Central Alabama Electric Coop
Chilton,23,23,10433,05-25-2024 15:22:49,Central Alabama Electric Coop
Autauga,3,3,12084,05-25-2024 15:37:35,Central Alabama Electric Coop
Chilton,25,25,10433,05-25-2024 15:37:35,Central Alabama Electric Coop
Elmore,367,367,17933,05-25-2024 15:37:35,Central Alabama Electric Coop
Autauga,7,7,12084,05-25-2024 15:52:35,Central Alabama Electric Coop
Chilton,25,25,10433,05-25-2024 15:52:35,Central Alabama Electric Coop
Elmore,400,400,17933,05-25-2024 15:52:35,Central Alabama Electric Coop
Autauga,7,7,12084,05-25-2024 16:07:35,Central Alabama Electric Coop
Chilton,25,25,10433,05-25-2024 16:07:35,Central Alabama Electric Coop
Elmore,137,137,17933,05-25-2024 16:07:35,Central Alabama Electric Coop
Autauga,4,4,12084,05-25-2024 16:22:34,Central Alabama Electric Coop
Chilton,25,25,10433,05-25-2024 16:22:34,Central Alabama Electric Coop
Elmore,306,306,17933,05-25-2024 16:22:34,Central Alabama Electric Coop
Autauga,4,4,12084,05-25-2024 16:37:36,Central Alabama Electric Coop
Chilton,3,3,10433,05-25-2024 16:37:36,Central Alabama Electric Coop
Elmore,327,327,17933,05-25-2024 16:37:36,Central Alabama Electric Coop
Autauga,4,4,12084,05-25-2024 16:52:34,Central Alabama Electric Coop
Chilton,3,3,10433,05-25-2024 16:52:34,Central Alabama Electric Coop
Elmore,343,343,17933,05-25-2024 16:52:34,Central Alabama Electric Coop
Autauga,4,4,12084,05-25-2024 17:07:34,Central Alabama Electric Coop
Elmore,314,314,17933,05-25-2024 17:07:34,Central Alabama Electric Coop
Autauga,4,4,12084,05-25-2024 17:22:35,Central Alabama Electric Coop
Chilton,3,3,10433,05-25-2024 17:22:35,Central Alabama Electric Coop
Elmore,213,213,17933,05-25-2024 17:22:35,Central Alabama Electric Coop
Autauga,3,3,12084,05-25-2024 17:37:35,Central Alabama Electric Coop
Chilton,3,3,10433,05-25-2024 17:37:35,Central Alabama Electric Coop
Elmore,166,161,17933,05-25-2024 17:37:35,Central Alabama Electric Coop
Autauga,3,3,12084,05-25-2024 17:52:35,Central Alabama Electric Coop
Elmore,160,160,17933,05-25-2024 17:52:35,Central Alabama Electric Coop
Autauga,5,5,12084,05-25-2024 18:07:35,Central Alabama Electric Coop
Elmore,157,157,17933,05-25-2024 18:07:35,Central Alabama Electric Coop
Elmore,157,157,17933,05-25-2024 18:22:35,Central Alabama Electric Coop
Elmore,101,101,17933,05-25-2024 18:37:34,Central Alabama Electric Coop
Coosa,23,23,3288,05-25-2024 18:37:34,Central Alabama Electric Coop
Elmore,25,25,17933,05-25-2024 18:52:34,Central Alabama Electric Coop
Coosa,23,23,3288,05-25-2024 18:52:34,Central Alabama Electric Coop
Elmore,25,25,17933,05-25-2024 19:07:35,Central Alabama Electric Coop
Coosa,32,32,3288,05-25-2024 19:07:35,Central Alabama Electric Coop
Elmore,25,25,17933,05-25-2024 19:22:35,Central Alabama Electric Coop
Coosa,32,32,3288,05-25-2024 19:22:35,Central Alabama Electric Coop
Elmore,25,25,17933,05-25-2024 19:37:35,Central Alabama Electric Coop
Coosa,32,32,3288,05-25-2024 19:37:35,Central Alabama Electric Coop
Elmore,15,15,17933,05-25-2024 19:52:34,Central Alabama Electric Coop
Coosa,32,32,3288,05-25-2024 19:52:34,Central Alabama Electric Coop
Elmore,14,14,17933,05-25-2024 20:07:35,Central Alabama Electric Coop
Coosa,32,9,3288,05-25-2024 20:07:35,Central Alabama Electric Coop
Elmore,43,43,17933,05-25-2024 20:22:35,Central Alabama Electric Coop
Coosa,9,9,3288,05-25-2024 20:22:35,Central Alabama Electric Coop
Elmore,65,65,17933,05-25-2024 20:37:35,Central Alabama Electric Coop
Autauga,10,10,12084,05-25-2024 20:52:35,Central Alabama Electric Coop
Elmore,87,87,17933,05-25-2024 20:52:35,Central Alabama Electric Coop
Autauga,10,10,12084,05-25-2024 21:07:35,Central Alabama Electric Coop
Elmore,78,78,17933,05-25-2024 21:07:35,Central Alabama Electric Coop
Autauga,13,13,12084,05-25-2024 21:22:35,Central Alabama Electric Coop
Chilton,5,5,10432,05-25-2024 21:22:35,Central Alabama Electric Coop
Elmore,78,78,17933,05-25-2024 21:22:35,Central Alabama Electric Coop
Autauga,13,13,12084,05-25-2024 21:37:35,Central Alabama Electric Coop
Chilton,5,5,10432,05-25-2024 21:37:35,Central Alabama Electric Coop
Elmore,78,78,17933,05-25-2024 21:37:35,Central Alabama Electric Coop
Autauga,13,13,12084,05-25-2024 21:52:35,Central Alabama Electric Coop
Chilton,5,5,10432,05-25-2024 21:52:35,Central Alabama Electric Coop
Elmore,81,81,17933,05-25-2024 21:52:35,Central Alabama Electric Coop
Autauga,13,13,12084,05-25-2024 22:07:35,Central Alabama Electric Coop
Elmore,81,81,17933,05-25-2024 22:07:35,Central Alabama Electric Coop
Autauga,66,66,12084,05-25-2024 22:22:35,Central Alabama Electric Coop
Elmore,59,59,17933,05-25-2024 22:22:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 22:37:49,Central Alabama Electric Coop
Elmore,58,58,17933,05-25-2024 22:37:49,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 22:52:35,Central Alabama Electric Coop
Elmore,58,58,17933,05-25-2024 22:52:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 23:07:35,Central Alabama Electric Coop
Elmore,58,58,17933,05-25-2024 23:07:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 23:22:35,Central Alabama Electric Coop
Elmore,41,41,17933,05-25-2024 23:22:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 23:37:35,Central Alabama Electric Coop
Elmore,44,44,17933,05-25-2024 23:37:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-25-2024 23:52:35,Central Alabama Electric Coop
Elmore,44,44,17933,05-25-2024 23:52:35,Central Alabama Electric Coop
Autauga,63,63,12084,05-26-2024 00:07:34,Central Alabama Electric Coop
Elmore,44,44,17933,05-26-2024 00:07:34,Central Alabama Electric Coop
Autauga,63,63,12084,05-26-2024 00:22:49,Central Alabama Electric Coop
Elmore,41,41,17933,05-26-2024 00:22:49,Central Alabama Electric Coop
Autauga,63,63,12084,05-26-2024 00:37:36,Central Alabama Electric Coop
Elmore,41,41,17933,05-26-2024 00:37:36,Central Alabama Electric Coop
Autauga,63,63,12084,05-26-2024 00:52:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 00:52:35,Central Alabama Electric Coop
Autauga,14,14,12084,05-26-2024 01:07:37,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 01:07:37,Central Alabama Electric Coop
Autauga,20,20,12084,05-26-2024 01:22:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 01:22:35,Central Alabama Electric Coop
Autauga,18,18,12084,05-26-2024 01:37:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 01:37:35,Central Alabama Electric Coop
Autauga,18,18,12084,05-26-2024 01:52:36,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 01:52:36,Central Alabama Electric Coop
Autauga,14,14,12084,05-26-2024 02:07:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 02:07:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 02:22:36,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 02:37:37,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 02:52:35,Central Alabama Electric Coop
Elmore,8,8,17933,05-26-2024 03:07:35,Central Alabama Electric Coop
Elmore,10,10,17933,05-26-2024 03:22:36,Central Alabama Electric Coop
Elmore,10,10,17933,05-26-2024 03:37:35,Central Alabama Electric Coop
Chilton,3,3,10432,05-26-2024 04:37:34,Central Alabama Electric Coop
Elmore,1,1,17933,05-26-2024 10:22:35,Central Alabama Electric Coop
Elmore,3,3,17933,05-26-2024 13:37:36,Central Alabama Electric Coop
Elmore,3,3,17933,05-26-2024 13:52:36,Central Alabama Electric Coop
Elmore,3,3,17933,05-26-2024 14:07:37,Central Alabama Electric Coop
Chilton,1,1,10432,05-26-2024 18:07:35,Central Alabama Electric Coop
Chilton,1,1,10432,05-26-2024 18:22:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 18:37:35,Central Alabama Electric Coop
Chilton,1,1,10432,05-26-2024 18:37:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 18:52:35,Central Alabama Electric Coop
Chilton,1,1,10432,05-26-2024 18:52:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 19:07:35,Central Alabama Electric Coop
Chilton,1,1,10432,05-26-2024 19:07:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 19:22:35,Central Alabama Electric Coop
Chilton,20,20,10432,05-26-2024 19:22:35,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 19:37:49,Central Alabama Electric Coop
Chilton,20,20,10432,05-26-2024 19:37:49,Central Alabama Electric Coop
Autauga,1,1,12084,05-26-2024 19:52:49,Central Alabama Electric Coop
Chilton,19,19,10432,05-26-2024 19:52:49,Central Alabama Electric Coop
Chilton,19,19,10432,05-26-2024 20:07:49,Central Alabama Electric Coop
Chilton,19,19,10432,05-26-2024 20:22:49,Central Alabama Electric Coop
Chilton,19,19,10432,05-26-2024 20:37:49,Central Alabama Electric Coop
Chilton,19,19,10432,05-26-2024 20:52:36,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 08:37:35,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 08:52:35,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 09:07:34,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 09:22:35,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 09:37:36,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 09:52:35,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 10:07:50,Central Alabama Electric Coop
Elmore,2,2,17933,05-27-2024 10:22:35,Central Alabama Electric Coop
Chilton,1,1,10432,05-27-2024 10:37:35,Central Alabama Electric Coop
Chilton,7,7,10432,05-27-2024 10:52:35,Central Alabama Electric Coop
Chilton,10,10,10432,05-27-2024 11:07:36,Central Alabama Electric Coop
