name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Talladega,1,1,12390,05-23-2024 23:07:37,Coosa Valley Electric Coop
Talladega,1,1,12390,05-23-2024 23:22:37,Coosa Valley Electric Coop
Talladega,1,1,12390,05-23-2024 23:37:37,Coosa Valley Electric Coop
Talladega,1,1,12390,05-23-2024 23:52:37,Coosa Valley Electric Coop
Talladega,3,3,12389,05-24-2024 13:37:37,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 13:37:37,Coosa Valley Electric Coop
Talladega,3,3,12389,05-24-2024 13:52:51,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 13:52:51,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 14:07:39,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 14:22:37,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 14:37:36,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 14:52:36,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 15:07:37,Coosa Valley Electric Coop
St. Clair,1,1,2808,05-24-2024 15:22:35,Coosa Valley Electric Coop
Talladega,1,1,12389,05-24-2024 21:07:38,Coosa Valley Electric Coop
Talladega,1,1,12389,05-24-2024 21:22:52,Coosa Valley Electric Coop
Talladega,2,2,12389,05-24-2024 21:37:38,Coosa Valley Electric Coop
Talladega,2,2,12389,05-24-2024 21:52:38,Coosa Valley Electric Coop
Talladega,1,1,12389,05-24-2024 22:07:38,Coosa Valley Electric Coop
Talladega,1,1,12389,05-24-2024 22:22:37,Coosa Valley Electric Coop
Talladega,22,22,12394,05-25-2024 12:37:38,Coosa Valley Electric Coop
Talladega,22,22,12394,05-25-2024 12:52:39,Coosa Valley Electric Coop
St. Clair,1,1,2810,05-25-2024 12:52:39,Coosa Valley Electric Coop
Talladega,28,28,12394,05-25-2024 13:07:38,Coosa Valley Electric Coop
St. Clair,1,1,2810,05-25-2024 13:07:38,Coosa Valley Electric Coop
Talladega,28,28,12394,05-25-2024 13:22:38,Coosa Valley Electric Coop
St. Clair,1,1,2810,05-25-2024 13:22:38,Coosa Valley Electric Coop
Talladega,28,28,12394,05-25-2024 13:37:39,Coosa Valley Electric Coop
St. Clair,1,1,2810,05-25-2024 13:37:39,Coosa Valley Electric Coop
Talladega,7,7,12394,05-25-2024 13:52:38,Coosa Valley Electric Coop
St. Clair,1,1,2810,05-25-2024 13:52:38,Coosa Valley Electric Coop
Talladega,8,8,12394,05-25-2024 14:07:38,Coosa Valley Electric Coop
Talladega,8,8,12394,05-25-2024 14:22:37,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 14:37:38,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 14:52:37,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 15:07:37,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 15:22:53,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 15:37:41,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 15:52:37,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 16:07:37,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 16:22:36,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 16:37:38,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 16:52:36,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 16:52:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-25-2024 17:07:37,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 17:07:37,Coosa Valley Electric Coop
Talladega,1,1,12394,05-25-2024 17:22:37,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 17:22:37,Coosa Valley Electric Coop
Talladega,1,1,12394,05-25-2024 17:37:41,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 17:37:41,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 17:52:40,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 18:07:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 18:22:40,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 18:37:38,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 18:52:37,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 19:07:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 19:22:38,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 19:37:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 19:52:38,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 20:07:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 20:22:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 20:37:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 20:52:40,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 21:07:40,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 21:22:41,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 21:37:41,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 21:52:40,Coosa Valley Electric Coop
Talladega,2,2,12394,05-25-2024 22:07:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 22:07:39,Coosa Valley Electric Coop
Talladega,5,5,12394,05-25-2024 22:22:40,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 22:22:40,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 22:37:53,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 22:37:53,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 22:52:39,Coosa Valley Electric Coop
Shelby,6,6,847,05-25-2024 22:52:39,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 23:07:39,Coosa Valley Electric Coop
Shelby,6,0,847,05-25-2024 23:07:39,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 23:22:39,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 23:37:39,Coosa Valley Electric Coop
Talladega,4,4,12394,05-25-2024 23:52:39,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 00:07:38,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 00:22:53,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 00:37:39,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 00:52:39,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 01:07:39,Coosa Valley Electric Coop
Talladega,2,2,12394,05-26-2024 01:22:38,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 04:37:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 04:52:37,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 05:07:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 05:22:51,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 05:37:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 05:52:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 06:07:36,Coosa Valley Electric Coop
Talladega,1,1,12394,05-26-2024 06:22:36,Coosa Valley Electric Coop
Calhoun,2,2,2140,05-26-2024 18:07:37,Coosa Valley Electric Coop
Calhoun,2,2,2140,05-26-2024 18:22:37,Coosa Valley Electric Coop
Talladega,1,1,12394,05-27-2024 02:52:38,Coosa Valley Electric Coop
Talladega,1,1,12394,05-27-2024 03:07:51,Coosa Valley Electric Coop
Talladega,1,1,12394,05-27-2024 03:22:51,Coosa Valley Electric Coop
Calhoun,2,2,2140,05-27-2024 10:52:38,Coosa Valley Electric Coop
Talladega,5,5,12394,05-27-2024 11:07:39,Coosa Valley Electric Coop
St. Clair,3,3,2810,05-27-2024 11:07:39,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 11:07:39,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 11:07:39,Coosa Valley Electric Coop
Talladega,8,8,12394,05-27-2024 11:22:39,Coosa Valley Electric Coop
St. Clair,1701,1701,2810,05-27-2024 11:22:39,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 11:22:39,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 11:22:39,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 11:37:39,Coosa Valley Electric Coop
Talladega,64,64,12394,05-27-2024 11:37:39,Coosa Valley Electric Coop
St. Clair,1735,1735,2810,05-27-2024 11:37:39,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 11:37:39,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 11:37:39,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 11:52:40,Coosa Valley Electric Coop
Talladega,80,80,12394,05-27-2024 11:52:40,Coosa Valley Electric Coop
St. Clair,1740,1740,2810,05-27-2024 11:52:40,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 11:52:40,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 11:52:40,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 12:07:37,Coosa Valley Electric Coop
Talladega,92,92,12394,05-27-2024 12:07:37,Coosa Valley Electric Coop
St. Clair,1740,1740,2810,05-27-2024 12:07:37,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 12:07:37,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 12:07:37,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 12:22:41,Coosa Valley Electric Coop
Talladega,92,92,12394,05-27-2024 12:22:41,Coosa Valley Electric Coop
St. Clair,1740,151,2810,05-27-2024 12:22:41,Coosa Valley Electric Coop
Shelby,780,780,847,05-27-2024 12:22:41,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 12:22:41,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 12:37:41,Coosa Valley Electric Coop
Talladega,93,93,12394,05-27-2024 12:37:41,Coosa Valley Electric Coop
St. Clair,174,173,2810,05-27-2024 12:37:41,Coosa Valley Electric Coop
Shelby,780,659,847,05-27-2024 12:37:41,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 12:37:41,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 12:52:42,Coosa Valley Electric Coop
Talladega,93,93,12394,05-27-2024 12:52:42,Coosa Valley Electric Coop
St. Clair,174,173,2810,05-27-2024 12:52:42,Coosa Valley Electric Coop
Shelby,778,657,847,05-27-2024 12:52:42,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 12:52:42,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 13:07:41,Coosa Valley Electric Coop
Talladega,124,124,12394,05-27-2024 13:07:41,Coosa Valley Electric Coop
St. Clair,151,150,2810,05-27-2024 13:07:41,Coosa Valley Electric Coop
Shelby,778,657,847,05-27-2024 13:07:41,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 13:07:41,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 13:22:41,Coosa Valley Electric Coop
Talladega,125,125,12394,05-27-2024 13:22:41,Coosa Valley Electric Coop
St. Clair,158,157,2810,05-27-2024 13:22:41,Coosa Valley Electric Coop
Shelby,778,657,847,05-27-2024 13:22:41,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 13:22:41,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 13:37:40,Coosa Valley Electric Coop
Talladega,128,128,12394,05-27-2024 13:37:40,Coosa Valley Electric Coop
St. Clair,138,137,2810,05-27-2024 13:37:40,Coosa Valley Electric Coop
Shelby,778,657,847,05-27-2024 13:37:40,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 13:37:40,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 13:52:40,Coosa Valley Electric Coop
Talladega,125,125,12394,05-27-2024 13:52:40,Coosa Valley Electric Coop
St. Clair,138,137,2810,05-27-2024 13:52:40,Coosa Valley Electric Coop
Shelby,778,657,847,05-27-2024 13:52:40,Coosa Valley Electric Coop
Calhoun,5,5,2140,05-27-2024 13:52:40,Coosa Valley Electric Coop
Clay,46,46,264,05-27-2024 14:07:43,Coosa Valley Electric Coop
Talladega,125,125,12394,05-27-2024 14:07:43,Coosa Valley Electric Coop
St. Clair,138,137,2810,05-27-2024 14:07:43,Coosa Valley Electric Coop
