name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Troup,1,1,17625,05-23-2024 17:07:46,Diverse Power
Troup,10,10,17631,05-24-2024 02:37:42,Diverse Power
Troup,10,10,17631,05-24-2024 02:52:42,Diverse Power
Troup,10,10,17631,05-24-2024 03:07:42,Diverse Power
Troup,10,10,17631,05-24-2024 03:22:41,Diverse Power
Troup,10,10,17631,05-24-2024 03:37:41,Diverse Power
Troup,10,10,17631,05-24-2024 03:52:43,Diverse Power
Troup,10,10,17631,05-24-2024 04:07:46,Diverse Power
Troup,10,10,17631,05-24-2024 04:22:41,Diverse Power
Troup,10,10,17631,05-24-2024 04:37:40,Diverse Power
Troup,10,10,17631,05-24-2024 04:52:39,Diverse Power
Troup,10,10,17631,05-24-2024 05:07:40,Diverse Power
Troup,10,10,17631,05-24-2024 05:22:40,Diverse Power
Troup,10,10,17631,05-24-2024 05:37:56,Diverse Power
Troup,10,10,17631,05-24-2024 05:54:49,Diverse Power
Troup,10,10,17631,05-24-2024 06:07:40,Diverse Power
Troup,10,10,17631,05-24-2024 06:22:42,Diverse Power
Troup,10,10,17631,05-24-2024 06:37:41,Diverse Power
Troup,10,0,17631,05-24-2024 06:52:40,Diverse Power
Troup,10,0,17631,05-24-2024 07:07:40,Diverse Power
Troup,10,0,17631,05-24-2024 07:22:43,Diverse Power
Troup,10,0,17631,05-24-2024 07:37:40,Diverse Power
Troup,10,0,17631,05-24-2024 07:52:42,Diverse Power
Troup,10,0,17631,05-24-2024 08:07:40,Diverse Power
Troup,10,0,17631,05-24-2024 08:22:40,Diverse Power
Troup,10,0,17631,05-24-2024 08:37:40,Diverse Power
Troup,10,0,17631,05-24-2024 08:52:41,Diverse Power
Troup,10,0,17631,05-24-2024 09:07:42,Diverse Power
Coweta,2,2,16,05-24-2024 14:52:42,Diverse Power
Coweta,2,2,16,05-24-2024 15:07:44,Diverse Power
Coweta,2,2,16,05-24-2024 15:22:40,Diverse Power
Coweta,2,2,16,05-24-2024 15:37:40,Diverse Power
Harris,2,2,8248,05-24-2024 16:52:41,Diverse Power
Harris,4,4,8247,05-24-2024 17:37:42,Diverse Power
Harris,4,0,8244,05-24-2024 17:52:41,Diverse Power
Troup,1,1,17621,05-24-2024 18:37:43,Diverse Power
Heard,3,3,472,05-24-2024 20:07:44,Diverse Power
Troup,1,1,17635,05-25-2024 16:52:45,Diverse Power
Troup,1,1,17635,05-25-2024 17:07:46,Diverse Power
Troup,1,1,17635,05-25-2024 17:22:46,Diverse Power
Troup,1,1,17635,05-25-2024 17:37:47,Diverse Power
Troup,1,1,17635,05-25-2024 17:52:48,Diverse Power
Troup,1,1,17635,05-25-2024 18:07:46,Diverse Power
Troup,1,1,17635,05-25-2024 18:22:46,Diverse Power
Troup,1,1,17635,05-25-2024 18:37:45,Diverse Power
Troup,1,1,17635,05-25-2024 18:52:44,Diverse Power
Troup,1,1,17635,05-25-2024 19:07:44,Diverse Power
Troup,1,1,17635,05-25-2024 19:22:44,Diverse Power
Troup,1,1,17635,05-25-2024 19:37:44,Diverse Power
Troup,1,1,17635,05-25-2024 19:52:46,Diverse Power
Troup,1,1,17635,05-25-2024 20:07:45,Diverse Power
Troup,1,1,17635,05-25-2024 20:22:46,Diverse Power
Troup,1,1,17635,05-25-2024 20:37:45,Diverse Power
Troup,1,1,17635,05-25-2024 20:52:46,Diverse Power
Troup,1,1,17635,05-25-2024 21:07:47,Diverse Power
Troup,1,1,17635,05-25-2024 21:22:47,Diverse Power
Troup,1,1,17635,05-25-2024 21:37:47,Diverse Power
Troup,1,0,17635,05-25-2024 21:52:47,Diverse Power
Harris,4,4,8249,05-25-2024 22:07:47,Diverse Power
Troup,3,3,17635,05-26-2024 15:37:57,Diverse Power
Troup,3,3,17635,05-26-2024 15:52:57,Diverse Power
Troup,3,0,17635,05-26-2024 16:07:57,Diverse Power
Troup,1,1,17635,05-26-2024 17:52:42,Diverse Power
Troup,1,1,17635,05-26-2024 18:07:43,Diverse Power
Troup,1,1,17635,05-26-2024 18:22:42,Diverse Power
Troup,1,1,17635,05-26-2024 18:37:43,Diverse Power
Troup,16,16,17635,05-26-2024 18:52:43,Diverse Power
Troup,16,16,17635,05-26-2024 19:07:43,Diverse Power
Troup,15,15,17635,05-26-2024 19:22:45,Diverse Power
Troup,15,15,17635,05-26-2024 19:37:59,Diverse Power
Troup,15,0,17635,05-26-2024 19:52:59,Diverse Power
Chambers,6,6,680,05-27-2024 14:52:45,Diverse Power
Chambers,6,6,680,05-27-2024 15:07:45,Diverse Power
Troup,1,1,17635,05-27-2024 15:22:44,Diverse Power
Chambers,6,6,680,05-27-2024 15:22:44,Diverse Power
Troup,1,1,17635,05-27-2024 15:37:43,Diverse Power
Chambers,6,6,680,05-27-2024 15:37:43,Diverse Power
Troup,5,5,17635,05-27-2024 15:52:42,Diverse Power
Chambers,6,6,680,05-27-2024 15:52:42,Diverse Power
Troup,5,5,17635,05-27-2024 16:07:43,Diverse Power
Chambers,6,6,680,05-27-2024 16:07:43,Diverse Power
Troup,5,5,17635,05-27-2024 16:22:43,Diverse Power
Chambers,6,6,680,05-27-2024 16:22:43,Diverse Power
Troup,5,5,17635,05-27-2024 16:37:45,Diverse Power
Chambers,6,6,680,05-27-2024 16:37:45,Diverse Power
Harris,12,12,8249,05-27-2024 16:37:45,Diverse Power
Troup,5,5,17635,05-27-2024 16:52:47,Diverse Power
Chambers,6,6,680,05-27-2024 16:52:47,Diverse Power
Harris,12,12,8249,05-27-2024 16:52:47,Diverse Power
Troup,6,6,17635,05-27-2024 17:07:49,Diverse Power
Chambers,6,6,680,05-27-2024 17:07:49,Diverse Power
Harris,12,12,8249,05-27-2024 17:07:49,Diverse Power
Troup,6,6,17635,05-27-2024 17:22:46,Diverse Power
Chambers,6,6,680,05-27-2024 17:22:46,Diverse Power
Harris,12,12,8249,05-27-2024 17:22:46,Diverse Power
Troup,6,6,17635,05-27-2024 17:38:03,Diverse Power
Harris,12,12,8249,05-27-2024 17:38:03,Diverse Power
Troup,7,7,17635,05-27-2024 17:53:02,Diverse Power
Harris,13,13,8249,05-27-2024 17:53:02,Diverse Power
Troup,7,7,17635,05-27-2024 18:08:02,Diverse Power
Harris,13,13,8249,05-27-2024 18:08:02,Diverse Power
Troup,5,5,17635,05-27-2024 18:23:02,Diverse Power
Harris,12,12,8249,05-27-2024 18:23:02,Diverse Power
Troup,5,5,17635,05-27-2024 18:38:00,Diverse Power
Harris,12,12,8249,05-27-2024 18:38:00,Diverse Power
Troup,1,1,17635,05-27-2024 18:53:03,Diverse Power
Harris,12,12,8249,05-27-2024 18:53:03,Diverse Power
Troup,1,1,17635,05-27-2024 19:08:01,Diverse Power
Harris,12,12,8249,05-27-2024 19:08:01,Diverse Power
Troup,1,1,17635,05-27-2024 19:22:46,Diverse Power
Harris,12,12,8249,05-27-2024 19:22:46,Diverse Power
Troup,1,1,17635,05-27-2024 19:37:47,Diverse Power
Harris,12,12,8249,05-27-2024 19:37:47,Diverse Power
Troup,1,1,17635,05-27-2024 19:52:47,Diverse Power
Harris,13,13,8249,05-27-2024 19:52:47,Diverse Power
Harris,13,13,8249,05-27-2024 20:07:47,Diverse Power
Harris,13,13,8249,05-27-2024 20:22:47,Diverse Power
Harris,13,13,8249,05-27-2024 20:37:46,Diverse Power
Chambers,1,1,680,05-27-2024 22:52:44,Diverse Power
Chambers,1,1,680,05-27-2024 23:07:46,Diverse Power
Chambers,1,1,680,05-27-2024 23:22:42,Diverse Power
Calhoun,1,1,1382,05-27-2024 23:37:47,Diverse Power
Chambers,1,1,680,05-27-2024 23:37:47,Diverse Power
Calhoun,1,1,1382,05-27-2024 23:52:46,Diverse Power
Chambers,1,1,680,05-27-2024 23:52:46,Diverse Power
Calhoun,4,4,1382,05-28-2024 00:07:47,Diverse Power
Chambers,1,1,680,05-28-2024 00:07:47,Diverse Power
Calhoun,3,3,1382,05-28-2024 00:22:46,Diverse Power
Chambers,1,1,680,05-28-2024 00:22:46,Diverse Power
Calhoun,3,3,1382,05-28-2024 00:37:45,Diverse Power
Randolph,5,5,1747,05-28-2024 01:22:47,Diverse Power
Randolph,5,5,1747,05-28-2024 01:37:46,Diverse Power
Randolph,5,5,1747,05-28-2024 01:52:46,Diverse Power
Randolph,5,5,1747,05-28-2024 02:07:47,Diverse Power
Randolph,5,5,1747,05-28-2024 02:22:47,Diverse Power
Randolph,5,5,1747,05-28-2024 02:37:44,Diverse Power
Randolph,5,5,1747,05-28-2024 02:52:43,Diverse Power
Randolph,5,5,1747,05-28-2024 03:07:43,Diverse Power
Randolph,5,0,1747,05-28-2024 03:22:44,Diverse Power
Randolph,5,0,1747,05-28-2024 03:37:44,Diverse Power
Randolph,5,0,1747,05-28-2024 03:52:57,Diverse Power
Randolph,5,0,1747,05-28-2024 04:07:56,Diverse Power
Randolph,5,0,1747,05-28-2024 04:22:56,Diverse Power
Randolph,5,0,1747,05-28-2024 04:37:41,Diverse Power
Randolph,5,0,1747,05-28-2024 04:52:46,Diverse Power
Randolph,5,0,1747,05-28-2024 05:07:42,Diverse Power
Randolph,5,0,1747,05-28-2024 05:22:41,Diverse Power
Harris,29,29,8248,05-28-2024 12:52:42,Diverse Power
Harris,32,32,8248,05-28-2024 13:07:42,Diverse Power
Harris,29,29,8248,05-28-2024 13:22:42,Diverse Power
Harris,29,29,8248,05-28-2024 13:37:43,Diverse Power
Meriwether,1,1,2416,05-28-2024 14:22:45,Diverse Power
Meriwether,1,1,2416,05-28-2024 14:37:47,Diverse Power
Meriwether,1,1,2416,05-28-2024 14:52:45,Diverse Power
Meriwether,1,1,2416,05-28-2024 15:07:43,Diverse Power
Troup,29,29,17628,05-28-2024 15:22:43,Diverse Power
Meriwether,1,1,2416,05-28-2024 15:22:43,Diverse Power
Troup,29,29,17628,05-28-2024 15:37:42,Diverse Power
Troup,29,29,17628,05-28-2024 15:52:44,Diverse Power
Randolph,1,1,1747,05-28-2024 19:37:44,Diverse Power
Randolph,1,1,1747,05-28-2024 19:52:46,Diverse Power
Randolph,1,1,1747,05-28-2024 20:07:44,Diverse Power
Randolph,1,1,1747,05-28-2024 20:22:44,Diverse Power
Troup,925,925,17626,05-28-2024 22:07:43,Diverse Power
Troup,928,928,17637,05-28-2024 22:22:45,Diverse Power
Troup,925,145,17637,05-28-2024 22:37:44,Diverse Power
Randolph,1,1,1747,05-29-2024 03:37:43,Diverse Power
Randolph,2,2,1747,05-29-2024 11:52:41,Diverse Power
Randolph,2,2,1747,05-29-2024 12:07:41,Diverse Power
Randolph,2,2,1748,05-29-2024 12:22:41,Diverse Power
Randolph,2,2,1748,05-29-2024 12:37:42,Diverse Power
Randolph,2,2,1748,05-29-2024 12:52:41,Diverse Power
Randolph,2,2,1748,05-29-2024 13:07:45,Diverse Power
Randolph,2,2,1748,05-29-2024 13:22:41,Diverse Power
Randolph,2,2,1748,05-29-2024 13:37:43,Diverse Power
Randolph,2,2,1748,05-29-2024 13:52:41,Diverse Power
Randolph,2,2,1748,05-29-2024 14:07:46,Diverse Power
Randolph,2,2,1748,05-29-2024 14:22:43,Diverse Power
Randolph,2,2,1748,05-29-2024 14:37:42,Diverse Power
