CountyName,CustomersServed,CustomersAffected,timestamp,EMC
Dale,0,27,05-23-2024 17:10:01,PEA River Electric Coop
Dale,0,27,05-23-2024 17:25:01,PEA River Electric Coop
Dale,0,27,05-23-2024 17:40:01,PEA River Electric Coop
Dale,0,27,05-23-2024 17:55:01,PEA River Electric Coop
Barbour,0,2,05-23-2024 19:40:01,PEA River Electric Coop
Barbour,0,2,05-23-2024 19:55:01,PEA River Electric Coop
Barbour,0,2,05-23-2024 20:10:01,PEA River Electric Coop
Barbour,0,2,05-23-2024 20:25:01,PEA River Electric Coop
Dale,0,1,05-24-2024 12:10:02,PEA River Electric Coop
Dale,0,1,05-24-2024 12:25:01,PEA River Electric Coop
Dale,0,1,05-24-2024 12:40:02,PEA River Electric Coop
Dale,0,1,05-24-2024 12:55:02,PEA River Electric Coop
Dale,0,1,05-24-2024 13:10:01,PEA River Electric Coop
Barbour,0,3,05-24-2024 13:10:01,PEA River Electric Coop
Dale,0,3,05-24-2024 13:25:01,PEA River Electric Coop
Barbour,0,3,05-24-2024 13:25:01,PEA River Electric Coop
Dale,0,24,05-24-2024 13:40:01,PEA River Electric Coop
Barbour,0,3,05-24-2024 13:40:01,PEA River Electric Coop
Dale,0,24,05-24-2024 13:55:02,PEA River Electric Coop
Barbour,0,3,05-24-2024 13:55:02,PEA River Electric Coop
Dale,0,24,05-24-2024 14:10:01,PEA River Electric Coop
Dale,0,24,05-24-2024 14:25:02,PEA River Electric Coop
Henry,0,1,05-24-2024 14:25:02,PEA River Electric Coop
Dale,0,1,05-24-2024 14:40:01,PEA River Electric Coop
Henry,0,1,05-24-2024 14:40:01,PEA River Electric Coop
Dale,0,1,05-24-2024 14:55:01,PEA River Electric Coop
Henry,0,1,05-24-2024 14:55:01,PEA River Electric Coop
Henry,0,1,05-24-2024 15:10:01,PEA River Electric Coop
Henry,0,1,05-24-2024 15:25:01,PEA River Electric Coop
Henry,0,1,05-24-2024 15:40:02,PEA River Electric Coop
Dale,0,1,05-24-2024 19:25:02,PEA River Electric Coop
Dale,0,2,05-24-2024 19:40:01,PEA River Electric Coop
Dale,0,2,05-24-2024 19:55:01,PEA River Electric Coop
Dale,0,1,05-24-2024 20:10:05,PEA River Electric Coop
Dale,0,1,05-24-2024 20:25:01,PEA River Electric Coop
Dale,0,3,05-24-2024 20:55:01,PEA River Electric Coop
Dale,0,3,05-24-2024 21:10:01,PEA River Electric Coop
Dale,0,62,05-25-2024 02:10:01,PEA River Electric Coop
Dale,0,63,05-25-2024 02:25:01,PEA River Electric Coop
Dale,0,63,05-25-2024 02:40:01,PEA River Electric Coop
Barbour,0,2,05-25-2024 15:10:07,PEA River Electric Coop
Barbour,0,2,05-25-2024 15:25:13,PEA River Electric Coop
Barbour,0,2,05-25-2024 15:40:06,PEA River Electric Coop
Dale,0,1,05-25-2024 15:55:13,PEA River Electric Coop
Barbour,0,2,05-25-2024 15:55:13,PEA River Electric Coop
Dale,0,1,05-25-2024 16:10:07,PEA River Electric Coop
Barbour,0,2,05-25-2024 16:10:07,PEA River Electric Coop
Dale,0,1,05-25-2024 16:25:03,PEA River Electric Coop
Barbour,0,2,05-25-2024 16:25:03,PEA River Electric Coop
Dale,0,1,05-25-2024 16:40:05,PEA River Electric Coop
Barbour,0,2,05-25-2024 16:40:05,PEA River Electric Coop
Barbour,0,2,05-25-2024 16:55:03,PEA River Electric Coop
Barbour,0,2,05-25-2024 17:10:04,PEA River Electric Coop
Barbour,0,2,05-25-2024 17:25:03,PEA River Electric Coop
Dale,0,1,05-25-2024 19:10:02,PEA River Electric Coop
Dale,0,2,05-25-2024 19:25:03,PEA River Electric Coop
Dale,0,122,05-25-2024 19:40:06,PEA River Electric Coop
Coffee,0,11,05-25-2024 19:40:06,PEA River Electric Coop
Dale,0,137,05-25-2024 19:55:05,PEA River Electric Coop
Coffee,0,14,05-25-2024 19:55:05,PEA River Electric Coop
Dale,0,258,05-25-2024 20:10:02,PEA River Electric Coop
Henry,0,1,05-25-2024 20:10:02,PEA River Electric Coop
Coffee,0,14,05-25-2024 20:10:02,PEA River Electric Coop
Dale,0,258,05-25-2024 20:25:04,PEA River Electric Coop
Henry,0,1,05-25-2024 20:25:04,PEA River Electric Coop
Coffee,0,14,05-25-2024 20:25:04,PEA River Electric Coop
Dale,0,258,05-25-2024 20:40:01,PEA River Electric Coop
Henry,0,1,05-25-2024 20:40:01,PEA River Electric Coop
Coffee,0,14,05-25-2024 20:40:01,PEA River Electric Coop
Dale,0,258,05-25-2024 20:55:03,PEA River Electric Coop
Henry,0,1,05-25-2024 20:55:03,PEA River Electric Coop
Coffee,0,14,05-25-2024 20:55:03,PEA River Electric Coop
Dale,0,259,05-25-2024 21:10:01,PEA River Electric Coop
Henry,0,1,05-25-2024 21:10:01,PEA River Electric Coop
Coffee,0,14,05-25-2024 21:10:01,PEA River Electric Coop
Dale,0,259,05-25-2024 21:25:01,PEA River Electric Coop
Henry,0,1,05-25-2024 21:25:01,PEA River Electric Coop
Coffee,0,14,05-25-2024 21:25:01,PEA River Electric Coop
Dale,0,259,05-25-2024 21:40:01,PEA River Electric Coop
Henry,0,1,05-25-2024 21:40:01,PEA River Electric Coop
Coffee,0,14,05-25-2024 21:40:01,PEA River Electric Coop
Dale,0,260,05-25-2024 21:55:01,PEA River Electric Coop
Henry,0,1,05-25-2024 21:55:01,PEA River Electric Coop
Coffee,0,14,05-25-2024 21:55:01,PEA River Electric Coop
Dale,0,260,05-25-2024 22:10:02,PEA River Electric Coop
Henry,0,1,05-25-2024 22:10:02,PEA River Electric Coop
Coffee,0,14,05-25-2024 22:10:02,PEA River Electric Coop
Dale,0,260,05-25-2024 22:25:05,PEA River Electric Coop
Henry,0,1,05-25-2024 22:25:05,PEA River Electric Coop
Coffee,0,14,05-25-2024 22:25:05,PEA River Electric Coop
Dale,0,262,05-25-2024 22:40:05,PEA River Electric Coop
Henry,0,1,05-25-2024 22:40:05,PEA River Electric Coop
Coffee,0,14,05-25-2024 22:40:05,PEA River Electric Coop
Dale,0,205,05-25-2024 22:55:05,PEA River Electric Coop
Henry,0,1,05-25-2024 22:55:05,PEA River Electric Coop
Coffee,0,14,05-25-2024 22:55:05,PEA River Electric Coop
Dale,0,205,05-25-2024 23:10:04,PEA River Electric Coop
Henry,0,1,05-25-2024 23:10:04,PEA River Electric Coop
Coffee,0,14,05-25-2024 23:10:04,PEA River Electric Coop
Dale,0,205,05-25-2024 23:25:05,PEA River Electric Coop
Henry,0,1,05-25-2024 23:25:05,PEA River Electric Coop
Coffee,0,14,05-25-2024 23:25:05,PEA River Electric Coop
Dale,0,205,05-25-2024 23:40:12,PEA River Electric Coop
Henry,0,1,05-25-2024 23:40:12,PEA River Electric Coop
Coffee,0,14,05-25-2024 23:40:12,PEA River Electric Coop
Dale,0,13,05-25-2024 23:55:04,PEA River Electric Coop
Henry,0,1,05-25-2024 23:55:04,PEA River Electric Coop
Dale,0,13,05-26-2024 00:10:08,PEA River Electric Coop
Dale,0,13,05-26-2024 00:25:04,PEA River Electric Coop
Dale,0,10,05-26-2024 00:40:13,PEA River Electric Coop
Dale,0,10,05-26-2024 00:55:05,PEA River Electric Coop
Dale,0,10,05-26-2024 01:10:01,PEA River Electric Coop
Dale,0,10,05-26-2024 01:25:06,PEA River Electric Coop
Dale,0,10,05-26-2024 01:40:04,PEA River Electric Coop
Dale,0,10,05-26-2024 01:55:05,PEA River Electric Coop
Dale,0,45,05-26-2024 02:10:04,PEA River Electric Coop
Dale,0,45,05-26-2024 02:25:06,PEA River Electric Coop
Barbour,0,1,05-26-2024 08:55:01,PEA River Electric Coop
Barbour,0,1,05-26-2024 09:10:05,PEA River Electric Coop
Barbour,0,1,05-26-2024 09:25:03,PEA River Electric Coop
Barbour,0,1,05-26-2024 09:40:01,PEA River Electric Coop
Dale,0,1,05-26-2024 17:25:01,PEA River Electric Coop
Dale,0,1,05-26-2024 17:40:01,PEA River Electric Coop
Dale,0,1,05-26-2024 17:55:07,PEA River Electric Coop
Dale,0,1,05-26-2024 18:10:03,PEA River Electric Coop
Dale,0,1,05-27-2024 00:55:09,PEA River Electric Coop
Dale,0,1,05-27-2024 01:10:09,PEA River Electric Coop
Dale,0,1,05-27-2024 01:25:10,PEA River Electric Coop
Dale,0,4,05-27-2024 11:40:10,PEA River Electric Coop
Dale,0,4,05-27-2024 12:10:01,PEA River Electric Coop
Dale,0,4,05-27-2024 12:25:06,PEA River Electric Coop
Barbour,0,2,05-27-2024 12:25:06,PEA River Electric Coop
Dale,0,4,05-27-2024 12:40:07,PEA River Electric Coop
Barbour,0,2,05-27-2024 12:40:07,PEA River Electric Coop
Dale,0,4,05-27-2024 12:55:05,PEA River Electric Coop
Barbour,0,2,05-27-2024 12:55:05,PEA River Electric Coop
Barbour,0,2,05-27-2024 13:10:08,PEA River Electric Coop
Barbour,0,1,05-27-2024 16:40:01,PEA River Electric Coop
Dale,0,1,05-27-2024 16:55:01,PEA River Electric Coop
Barbour,0,1,05-27-2024 16:55:01,PEA River Electric Coop
Dale,0,1,05-27-2024 17:10:02,PEA River Electric Coop
Dale,0,1,05-27-2024 17:25:01,PEA River Electric Coop
Dale,0,1,05-27-2024 17:40:01,PEA River Electric Coop
Dale,0,2,05-28-2024 00:40:05,PEA River Electric Coop
Dale,0,21,05-28-2024 00:55:05,PEA River Electric Coop
Dale,0,178,05-28-2024 01:10:03,PEA River Electric Coop
Dale,0,178,05-28-2024 01:25:06,PEA River Electric Coop
Dale,0,159,05-28-2024 01:40:08,PEA River Electric Coop
Dale,0,159,05-28-2024 01:55:05,PEA River Electric Coop
Dale,0,159,05-28-2024 02:10:08,PEA River Electric Coop
Dale,0,159,05-28-2024 02:25:07,PEA River Electric Coop
Dale,0,1,05-28-2024 02:40:05,PEA River Electric Coop
Dale,0,3,05-28-2024 13:10:01,PEA River Electric Coop
Dale,0,3,05-28-2024 13:25:02,PEA River Electric Coop
Dale,0,3,05-28-2024 13:40:02,PEA River Electric Coop
Dale,0,3,05-28-2024 13:55:08,PEA River Electric Coop
Barbour,0,1,05-28-2024 17:55:02,PEA River Electric Coop
Barbour,0,1,05-28-2024 18:25:01,PEA River Electric Coop
Barbour,0,1,05-28-2024 18:40:01,PEA River Electric Coop
Barbour,0,1,05-28-2024 18:55:01,PEA River Electric Coop
Barbour,0,1,05-28-2024 19:10:02,PEA River Electric Coop
Barbour,0,1,05-28-2024 19:25:02,PEA River Electric Coop
Barbour,0,1,05-28-2024 19:40:01,PEA River Electric Coop
Henry,0,1,05-29-2024 11:10:01,PEA River Electric Coop
Henry,0,1,05-29-2024 11:25:01,PEA River Electric Coop
Henry,0,1,05-29-2024 11:40:01,PEA River Electric Coop
Henry,0,1,05-29-2024 11:55:01,PEA River Electric Coop
Henry,0,1,05-29-2024 12:10:01,PEA River Electric Coop
Henry,0,1,05-29-2024 12:25:01,PEA River Electric Coop
Henry,0,1,05-29-2024 12:40:01,PEA River Electric Coop
Henry,0,1,05-29-2024 12:55:01,PEA River Electric Coop
Dale,0,2,05-29-2024 13:55:02,PEA River Electric Coop
Dale,0,2,05-29-2024 14:10:01,PEA River Electric Coop
Dale,0,2,05-29-2024 14:25:01,PEA River Electric Coop
Dale,0,5,05-29-2024 14:40:02,PEA River Electric Coop
Barbour,0,11,05-29-2024 15:25:13,PEA River Electric Coop
Barbour,0,11,05-29-2024 15:40:01,PEA River Electric Coop
Dale,0,1,05-29-2024 18:10:01,PEA River Electric Coop
Dale,0,1,05-29-2024 18:25:02,PEA River Electric Coop
Barbour,0,1,05-30-2024 00:25:01,PEA River Electric Coop
Barbour,0,1,05-30-2024 00:40:01,PEA River Electric Coop
Barbour,0,1,05-30-2024 00:55:00,PEA River Electric Coop
Dale,0,1,05-30-2024 11:25:03,PEA River Electric Coop
Dale,0,1,05-30-2024 11:40:02,PEA River Electric Coop
Barbour,0,2,05-30-2024 11:40:02,PEA River Electric Coop
Dale,0,1,05-30-2024 11:55:01,PEA River Electric Coop
Barbour,0,2,05-30-2024 11:55:01,PEA River Electric Coop
Dale,0,1,05-30-2024 12:10:02,PEA River Electric Coop
Barbour,0,2,05-30-2024 12:10:02,PEA River Electric Coop
Barbour,0,2,05-30-2024 12:25:01,PEA River Electric Coop
Dale,0,5,05-30-2024 21:55:01,PEA River Electric Coop
Dale,0,3,05-31-2024 05:10:03,PEA River Electric Coop
Henry,0,1,06-01-2024 13:55:05,PEA River Electric Coop
Henry,0,11,06-01-2024 14:10:04,PEA River Electric Coop
Barbour,0,5,06-01-2024 14:10:04,PEA River Electric Coop
Henry,0,11,06-01-2024 14:25:07,PEA River Electric Coop
Barbour,0,5,06-01-2024 14:25:07,PEA River Electric Coop
Henry,0,11,06-01-2024 14:40:04,PEA River Electric Coop
Barbour,0,5,06-01-2024 14:40:04,PEA River Electric Coop
Henry,0,11,06-01-2024 14:55:04,PEA River Electric Coop
Barbour,0,5,06-01-2024 14:55:04,PEA River Electric Coop
Dale,0,1,06-01-2024 15:10:03,PEA River Electric Coop
Dale,0,1,06-01-2024 15:25:03,PEA River Electric Coop
Dale,0,5,06-01-2024 15:40:03,PEA River Electric Coop
Dale,0,594,06-01-2024 19:55:09,PEA River Electric Coop
Dale,0,671,06-01-2024 20:10:05,PEA River Electric Coop
Dale,0,671,06-01-2024 20:25:02,PEA River Electric Coop
Dale,0,671,06-01-2024 20:40:04,PEA River Electric Coop
Dale,0,671,06-01-2024 20:55:02,PEA River Electric Coop
Dale,0,671,06-01-2024 21:10:04,PEA River Electric Coop
Dale,0,671,06-01-2024 21:25:06,PEA River Electric Coop
Dale,0,3,06-01-2024 21:55:07,PEA River Electric Coop
Dale,0,4,06-01-2024 22:10:04,PEA River Electric Coop
Dale,0,3,06-01-2024 22:25:04,PEA River Electric Coop
Dale,0,3,06-02-2024 20:55:01,PEA River Electric Coop
Dale,0,3,06-02-2024 21:10:03,PEA River Electric Coop
Dale,0,3,06-02-2024 21:25:03,PEA River Electric Coop
Dale,0,3,06-02-2024 21:40:04,PEA River Electric Coop
Dale,0,1,06-03-2024 01:10:09,PEA River Electric Coop
Dale,0,1,06-03-2024 01:25:08,PEA River Electric Coop
Dale,0,1,06-03-2024 01:40:04,PEA River Electric Coop
Dale,0,1,06-03-2024 01:55:08,PEA River Electric Coop
Barbour,0,1,06-03-2024 08:25:10,PEA River Electric Coop
Barbour,0,1,06-03-2024 08:40:15,PEA River Electric Coop
Barbour,0,1,06-03-2024 08:55:10,PEA River Electric Coop
Dale,0,1,06-03-2024 13:10:14,PEA River Electric Coop
Dale,0,1,06-03-2024 19:40:01,PEA River Electric Coop
Dale,0,1,06-03-2024 19:55:01,PEA River Electric Coop
Dale,0,1,06-03-2024 20:10:01,PEA River Electric Coop
Dale,0,1,06-03-2024 20:25:01,PEA River Electric Coop
Dale,0,1,06-03-2024 20:40:01,PEA River Electric Coop
Dale,0,1,06-03-2024 20:55:01,PEA River Electric Coop
Dale,0,1,06-03-2024 21:10:01,PEA River Electric Coop
Dale,0,1,06-03-2024 21:25:01,PEA River Electric Coop
Dale,0,1,06-03-2024 21:40:10,PEA River Electric Coop
Dale,0,1,06-03-2024 21:55:05,PEA River Electric Coop
Dale,0,1,06-03-2024 22:10:07,PEA River Electric Coop
Henry,0,1,06-03-2024 22:10:07,PEA River Electric Coop
Dale,0,1,06-03-2024 22:25:01,PEA River Electric Coop
Henry,0,1,06-03-2024 22:25:01,PEA River Electric Coop
Henry,0,1,06-03-2024 22:40:01,PEA River Electric Coop
Dale,0,1,06-04-2024 00:25:01,PEA River Electric Coop
Dale,0,1,06-04-2024 00:40:01,PEA River Electric Coop
Barbour,0,1,06-04-2024 02:25:03,PEA River Electric Coop
Barbour,0,1,06-04-2024 02:40:04,PEA River Electric Coop
Dale,0,45,06-04-2024 02:55:04,PEA River Electric Coop
Barbour,0,55,06-04-2024 02:55:04,PEA River Electric Coop
Dale,0,45,06-04-2024 03:10:00,PEA River Electric Coop
Barbour,0,55,06-04-2024 03:10:00,PEA River Electric Coop
Dale,0,45,06-04-2024 03:25:04,PEA River Electric Coop
Barbour,0,55,06-04-2024 03:25:04,PEA River Electric Coop
Barbour,0,1,06-04-2024 14:10:01,PEA River Electric Coop
Barbour,0,39,06-04-2024 14:25:01,PEA River Electric Coop
Barbour,0,39,06-04-2024 14:40:03,PEA River Electric Coop
Dale,0,1,06-04-2024 15:25:01,PEA River Electric Coop
Barbour,0,3,06-05-2024 00:55:01,PEA River Electric Coop
Barbour,0,3,06-05-2024 01:10:01,PEA River Electric Coop
Barbour,0,3,06-05-2024 01:25:04,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:10:13,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:25:05,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:40:01,PEA River Electric Coop
Barbour,0,2,06-05-2024 12:55:02,PEA River Electric Coop
Barbour,0,2,06-05-2024 13:10:14,PEA River Electric Coop
Dale,0,18,06-05-2024 19:10:03,PEA River Electric Coop
Dale,0,18,06-05-2024 19:25:02,PEA River Electric Coop
Dale,0,93,06-05-2024 19:40:01,PEA River Electric Coop
Dale,0,93,06-05-2024 19:55:05,PEA River Electric Coop
Dale,0,93,06-05-2024 20:10:01,PEA River Electric Coop
Dale,0,93,06-05-2024 20:25:01,PEA River Electric Coop
