name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Dallas,19,19,2826,05-23-2024 17:37:51,Pioneer Electric Coop
Dallas,21,21,2826,05-23-2024 17:52:49,Pioneer Electric Coop
Dallas,21,21,2826,05-23-2024 18:07:49,Pioneer Electric Coop
Dallas,2,2,2826,05-23-2024 18:22:48,Pioneer Electric Coop
Dallas,2,2,2826,05-23-2024 18:37:49,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 06:52:47,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 07:07:47,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 07:22:51,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 07:37:48,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 07:52:49,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 08:07:48,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 08:22:48,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 08:37:47,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 08:52:48,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 09:07:49,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 09:22:48,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 09:37:47,Pioneer Electric Coop
Butler,1,1,5239,05-24-2024 09:52:48,Pioneer Electric Coop
Butler,1,1,5240,05-24-2024 10:07:48,Pioneer Electric Coop
Butler,1,1,5240,05-24-2024 11:22:46,Pioneer Electric Coop
Butler,1,1,5240,05-24-2024 11:37:47,Pioneer Electric Coop
Butler,1,1,5241,05-24-2024 12:22:48,Pioneer Electric Coop
Butler,1,1,5241,05-24-2024 12:37:50,Pioneer Electric Coop
Butler,1,1,5241,05-24-2024 12:52:51,Pioneer Electric Coop
Dallas,2,2,2827,05-24-2024 13:53:06,Pioneer Electric Coop
Dallas,2,2,2826,05-24-2024 14:07:51,Pioneer Electric Coop
Wilcox,4,4,1131,05-24-2024 14:37:46,Pioneer Electric Coop
Butler,1,1,5224,05-24-2024 15:07:52,Pioneer Electric Coop
Butler,1,1,5229,05-24-2024 16:52:48,Pioneer Electric Coop
Butler,1,1,5229,05-24-2024 17:07:47,Pioneer Electric Coop
Dallas,27,27,2828,05-25-2024 00:22:51,Pioneer Electric Coop
Dallas,27,27,2828,05-25-2024 00:37:49,Pioneer Electric Coop
Dallas,27,27,2828,05-25-2024 00:52:49,Pioneer Electric Coop
Dallas,27,27,2828,05-25-2024 01:07:49,Pioneer Electric Coop
Butler,114,114,5241,05-25-2024 01:22:51,Pioneer Electric Coop
Dallas,30,30,2828,05-25-2024 01:22:51,Pioneer Electric Coop
Butler,114,114,5241,05-25-2024 01:37:50,Pioneer Electric Coop
Dallas,37,37,2828,05-25-2024 01:37:50,Pioneer Electric Coop
Butler,114,114,5241,05-25-2024 01:52:49,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 01:52:49,Pioneer Electric Coop
Butler,114,114,5241,05-25-2024 02:07:49,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 02:07:49,Pioneer Electric Coop
Butler,114,114,5241,05-25-2024 02:22:48,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 02:22:48,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 02:37:49,Pioneer Electric Coop
Butler,1,1,5243,05-25-2024 02:52:49,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 02:52:49,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 03:07:48,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 03:22:50,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 03:37:48,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 03:52:51,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 04:07:48,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 04:22:49,Pioneer Electric Coop
Dallas,10,10,2828,05-25-2024 04:37:49,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 07:22:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 07:37:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 07:52:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 08:07:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 08:22:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 08:37:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 08:52:48,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 09:07:51,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 09:22:49,Pioneer Electric Coop
Butler,10,10,5243,05-25-2024 09:37:48,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 14:07:53,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 14:22:53,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 14:37:58,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 14:52:56,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 15:07:55,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 15:23:12,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 15:37:59,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 15:52:58,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 16:07:54,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 16:22:58,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 17:08:02,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 17:23:01,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 17:38:01,Pioneer Electric Coop
Lowndes,1549,1549,2781,05-25-2024 17:53:02,Pioneer Electric Coop
Lowndes,1552,1265,2781,05-25-2024 18:07:56,Pioneer Electric Coop
Butler,4,4,5244,05-25-2024 19:37:55,Pioneer Electric Coop
Butler,4,4,5244,05-25-2024 19:52:56,Pioneer Electric Coop
Butler,4,4,5244,05-25-2024 20:07:55,Pioneer Electric Coop
Crenshaw,1,1,257,05-25-2024 20:22:54,Pioneer Electric Coop
Butler,4,4,5244,05-25-2024 20:22:54,Pioneer Electric Coop
Dallas,2,2,2828,05-25-2024 20:22:54,Pioneer Electric Coop
Crenshaw,3,3,257,05-25-2024 20:37:53,Pioneer Electric Coop
Butler,4,4,5244,05-25-2024 20:37:53,Pioneer Electric Coop
Dallas,2,2,2828,05-25-2024 20:37:53,Pioneer Electric Coop
Crenshaw,3,3,257,05-25-2024 20:52:55,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 20:52:55,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 21:07:54,Pioneer Electric Coop
Lowndes,345,345,2781,05-25-2024 21:07:54,Pioneer Electric Coop
Dallas,89,89,2828,05-25-2024 21:07:54,Pioneer Electric Coop
Butler,1,1,5244,05-25-2024 21:22:54,Pioneer Electric Coop
Lowndes,133,133,2781,05-25-2024 21:22:54,Pioneer Electric Coop
Dallas,89,89,2828,05-25-2024 21:22:54,Pioneer Electric Coop
Lowndes,133,133,2781,05-25-2024 21:37:55,Pioneer Electric Coop
Dallas,89,89,2828,05-25-2024 21:37:55,Pioneer Electric Coop
Lowndes,133,133,2781,05-25-2024 21:52:54,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 21:52:54,Pioneer Electric Coop
Lowndes,133,133,2781,05-25-2024 22:07:53,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 22:07:53,Pioneer Electric Coop
Lowndes,133,133,2781,05-25-2024 22:22:54,Pioneer Electric Coop
Lowndes,355,355,2781,05-25-2024 22:38:07,Pioneer Electric Coop
Lowndes,355,355,2781,05-25-2024 22:52:52,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 22:52:52,Pioneer Electric Coop
Lowndes,10,10,2781,05-25-2024 23:07:52,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 23:07:52,Pioneer Electric Coop
Lowndes,10,10,2781,05-25-2024 23:22:53,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 23:22:53,Pioneer Electric Coop
Lowndes,10,10,2781,05-25-2024 23:37:52,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 23:37:52,Pioneer Electric Coop
Lowndes,10,10,2781,05-25-2024 23:52:52,Pioneer Electric Coop
Dallas,136,136,2828,05-25-2024 23:52:52,Pioneer Electric Coop
Lowndes,10,10,2781,05-26-2024 00:07:51,Pioneer Electric Coop
Dallas,136,136,2828,05-26-2024 00:07:51,Pioneer Electric Coop
Dallas,52,52,2828,05-26-2024 00:23:05,Pioneer Electric Coop
Dallas,52,52,2828,05-26-2024 00:37:53,Pioneer Electric Coop
Dallas,136,136,2828,05-26-2024 00:52:52,Pioneer Electric Coop
Dallas,136,136,2828,05-26-2024 01:07:51,Pioneer Electric Coop
Dallas,11,11,2828,05-26-2024 01:52:52,Pioneer Electric Coop
Dallas,11,11,2828,05-26-2024 02:07:49,Pioneer Electric Coop
Dallas,3,3,2828,05-26-2024 02:22:50,Pioneer Electric Coop
Dallas,3,3,2828,05-26-2024 02:37:49,Pioneer Electric Coop
Dallas,2,2,2828,05-26-2024 02:52:48,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 03:22:50,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 03:37:50,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 03:52:49,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 03:52:49,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 04:07:49,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 04:07:49,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 04:22:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 04:22:48,Pioneer Electric Coop
Wilcox,44,44,1131,05-26-2024 04:37:49,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 04:37:49,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 04:52:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 05:07:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 05:23:03,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 05:37:47,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 05:52:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 06:07:47,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 06:22:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 06:37:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 14:37:50,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 14:52:48,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 15:08:03,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 15:23:01,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 15:38:05,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 15:53:05,Pioneer Electric Coop
Dallas,1,1,2828,05-26-2024 16:08:04,Pioneer Electric Coop
Butler,8,8,5245,05-26-2024 16:23:03,Pioneer Electric Coop
