name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Jackson County,7,7,55416,05-23-2024 17:07:57,Singing River Electric
George County,1,1,12812,05-23-2024 17:07:57,Singing River Electric
Jackson County,5,5,55418,05-23-2024 17:37:56,Singing River Electric
Jackson County,11,11,55417,05-23-2024 17:52:55,Singing River Electric
Jackson County,6,6,55418,05-23-2024 18:07:55,Singing River Electric
Jackson County,6,6,55419,05-23-2024 18:22:53,Singing River Electric
Jackson County,6,6,55419,05-23-2024 18:37:53,Singing River Electric
Jackson County,6,6,55418,05-23-2024 18:52:52,Singing River Electric
Jackson County,6,6,55425,05-23-2024 19:07:54,Singing River Electric
Perry County,14,14,1571,05-23-2024 19:07:54,Singing River Electric
George County,4,4,12821,05-23-2024 19:07:54,Singing River Electric
Jackson County,6,6,55427,05-23-2024 19:22:52,Singing River Electric
Perry County,14,14,1571,05-23-2024 19:22:52,Singing River Electric
George County,52,52,12821,05-23-2024 19:22:52,Singing River Electric
Jackson County,2,2,55428,05-23-2024 19:37:54,Singing River Electric
Perry County,14,14,1571,05-23-2024 19:37:54,Singing River Electric
George County,50,50,12821,05-23-2024 19:37:54,Singing River Electric
Jackson County,2,2,55430,05-23-2024 19:55:01,Singing River Electric
Perry County,14,14,1571,05-23-2024 19:55:01,Singing River Electric
George County,50,50,12821,05-23-2024 19:55:01,Singing River Electric
Jackson County,2,2,55433,05-23-2024 20:07:53,Singing River Electric
Perry County,14,14,1571,05-23-2024 20:07:53,Singing River Electric
George County,50,50,12822,05-23-2024 20:07:53,Singing River Electric
Jackson County,2,2,55439,05-23-2024 20:25:00,Singing River Electric
Perry County,10,10,1571,05-23-2024 20:25:00,Singing River Electric
George County,6,6,12823,05-23-2024 20:25:00,Singing River Electric
Perry County,10,10,1571,05-23-2024 20:37:53,Singing River Electric
George County,6,6,12825,05-23-2024 20:37:53,Singing River Electric
Perry County,10,10,1571,05-23-2024 20:52:53,Singing River Electric
George County,6,6,12825,05-23-2024 20:52:53,Singing River Electric
Jackson County,1,1,55447,05-23-2024 21:07:52,Singing River Electric
Perry County,10,10,1571,05-23-2024 21:07:52,Singing River Electric
George County,6,6,12825,05-23-2024 21:07:52,Singing River Electric
Perry County,10,10,1571,05-23-2024 21:22:51,Singing River Electric
George County,6,6,12826,05-23-2024 21:22:51,Singing River Electric
Perry County,10,10,1571,05-23-2024 21:37:52,Singing River Electric
George County,6,6,12826,05-23-2024 21:37:52,Singing River Electric
Perry County,10,10,1571,05-23-2024 21:52:52,Singing River Electric
George County,6,6,12826,05-23-2024 21:52:52,Singing River Electric
Jackson County,1,1,55453,05-23-2024 22:07:51,Singing River Electric
Perry County,10,10,1571,05-23-2024 22:07:51,Singing River Electric
George County,2,2,12826,05-23-2024 22:07:51,Singing River Electric
Jackson County,1,1,55454,05-23-2024 22:22:52,Singing River Electric
Perry County,10,10,1571,05-23-2024 22:22:52,Singing River Electric
George County,2,2,12826,05-23-2024 22:22:52,Singing River Electric
Jackson County,1,1,55454,05-23-2024 22:37:52,Singing River Electric
George County,2,2,12826,05-23-2024 22:37:52,Singing River Electric
Jackson County,1,1,55454,05-23-2024 22:52:51,Singing River Electric
George County,2,2,12826,05-23-2024 22:52:51,Singing River Electric
Jackson County,1,1,55455,05-23-2024 23:07:55,Singing River Electric
George County,2,2,12827,05-23-2024 23:07:55,Singing River Electric
George County,2,2,12827,05-23-2024 23:22:52,Singing River Electric
George County,2,2,12820,05-23-2024 23:37:53,Singing River Electric
George County,2,2,12820,05-23-2024 23:52:54,Singing River Electric
Jackson County,1,1,55420,05-24-2024 03:07:52,Singing River Electric
Jackson County,1,1,55420,05-24-2024 03:22:51,Singing River Electric
Jackson County,1,1,55420,05-24-2024 03:37:52,Singing River Electric
Jackson County,1,1,55420,05-24-2024 03:52:53,Singing River Electric
George County,2,2,12820,05-24-2024 11:37:51,Singing River Electric
George County,2,2,12820,05-24-2024 11:52:52,Singing River Electric
George County,1,1,12820,05-24-2024 12:07:53,Singing River Electric
George County,2,2,12820,05-24-2024 12:22:52,Singing River Electric
Jackson County,4,4,55420,05-24-2024 12:37:54,Singing River Electric
George County,1,1,12820,05-24-2024 12:37:54,Singing River Electric
Jackson County,4,4,55420,05-24-2024 12:52:54,Singing River Electric
George County,1,1,12820,05-24-2024 12:52:54,Singing River Electric
Jackson County,10,10,55421,05-24-2024 13:07:55,Singing River Electric
Wayne County,1,1,1120,05-24-2024 13:22:53,Singing River Electric
Jackson County,11,11,55421,05-24-2024 13:22:53,Singing River Electric
Wayne County,2,2,1120,05-24-2024 13:37:53,Singing River Electric
Jackson County,11,11,55422,05-24-2024 13:37:53,Singing River Electric
Wayne County,2,2,1120,05-24-2024 13:53:09,Singing River Electric
Jackson County,11,11,55422,05-24-2024 13:53:09,Singing River Electric
Wayne County,2,2,1120,05-24-2024 14:07:55,Singing River Electric
Jackson County,16,16,55424,05-24-2024 14:07:55,Singing River Electric
George County,1,1,12821,05-24-2024 14:07:55,Singing River Electric
Jackson County,20,20,55424,05-24-2024 14:22:53,Singing River Electric
George County,1,1,12821,05-24-2024 14:22:53,Singing River Electric
Jackson County,9,9,55424,05-24-2024 14:37:49,Singing River Electric
George County,1,1,12821,05-24-2024 14:37:49,Singing River Electric
Jackson County,9,9,55424,05-24-2024 14:52:52,Singing River Electric
Jackson County,9,9,55424,05-24-2024 15:07:56,Singing River Electric
Jackson County,9,9,55408,05-24-2024 15:22:51,Singing River Electric
Jackson County,9,9,55412,05-24-2024 15:37:51,Singing River Electric
Jackson County,9,9,55413,05-24-2024 15:52:50,Singing River Electric
Jackson County,11,11,55415,05-24-2024 16:07:50,Singing River Electric
Jackson County,9,9,55415,05-24-2024 16:22:54,Singing River Electric
Jackson County,9,9,55427,05-24-2024 16:37:52,Singing River Electric
Jackson County,9,9,55432,05-24-2024 16:52:52,Singing River Electric
Jackson County,9,9,55435,05-24-2024 17:07:50,Singing River Electric
Harrison County,7,7,999,05-24-2024 17:07:50,Singing River Electric
Jackson County,9,9,55435,05-24-2024 17:22:52,Singing River Electric
Harrison County,7,7,999,05-24-2024 17:22:52,Singing River Electric
Jackson County,9,9,55436,05-24-2024 17:37:53,Singing River Electric
Harrison County,7,7,999,05-24-2024 17:37:53,Singing River Electric
Jackson County,9,9,55436,05-24-2024 17:52:51,Singing River Electric
Harrison County,7,7,999,05-24-2024 17:52:51,Singing River Electric
Jackson County,9,9,55438,05-24-2024 18:07:52,Singing River Electric
Harrison County,7,7,999,05-24-2024 18:07:52,Singing River Electric
Jackson County,9,9,55439,05-24-2024 18:22:55,Singing River Electric
Harrison County,7,7,999,05-24-2024 18:22:55,Singing River Electric
Jackson County,37,37,55441,05-24-2024 18:37:54,Singing River Electric
Harrison County,7,7,999,05-24-2024 18:37:54,Singing River Electric
Jackson County,23,23,55443,05-24-2024 18:52:54,Singing River Electric
Harrison County,7,7,999,05-24-2024 18:52:54,Singing River Electric
Jackson County,23,23,55437,05-24-2024 19:07:56,Singing River Electric
Harrison County,16,16,1002,05-24-2024 19:07:56,Singing River Electric
Jackson County,30,30,55439,05-24-2024 19:22:57,Singing River Electric
Harrison County,16,16,1002,05-24-2024 19:22:57,Singing River Electric
Jackson County,114,114,55440,05-24-2024 19:37:56,Singing River Electric
Harrison County,7,7,1002,05-24-2024 19:37:56,Singing River Electric
Jackson County,114,114,55442,05-24-2024 19:52:54,Singing River Electric
Harrison County,7,7,1002,05-24-2024 19:52:54,Singing River Electric
Jackson County,113,113,55445,05-24-2024 20:07:54,Singing River Electric
Harrison County,7,7,1002,05-24-2024 20:07:54,Singing River Electric
Jackson County,85,85,55450,05-24-2024 20:22:57,Singing River Electric
Harrison County,7,7,1003,05-24-2024 20:22:57,Singing River Electric
Jackson County,85,85,55452,05-24-2024 20:38:08,Singing River Electric
Jackson County,85,85,55454,05-24-2024 20:52:56,Singing River Electric
Jackson County,22,22,55455,05-24-2024 21:07:53,Singing River Electric
Jackson County,140,140,55455,05-24-2024 21:23:07,Singing River Electric
Jackson County,196,196,55455,05-24-2024 21:37:53,Singing River Electric
Jackson County,196,196,55455,05-24-2024 21:52:55,Singing River Electric
Jackson County,1,1,55456,05-24-2024 22:07:54,Singing River Electric
Jackson County,1,1,55457,05-24-2024 22:22:55,Singing River Electric
Jackson County,1,1,55459,05-24-2024 23:07:56,Singing River Electric
George County,2,2,12835,05-24-2024 23:07:56,Singing River Electric
Jackson County,1,1,55459,05-24-2024 23:22:54,Singing River Electric
George County,2,2,12835,05-24-2024 23:22:54,Singing River Electric
Jackson County,1,1,55399,05-24-2024 23:37:54,Singing River Electric
George County,93,93,12830,05-25-2024 08:07:51,Singing River Electric
George County,94,94,12830,05-25-2024 08:22:53,Singing River Electric
George County,93,93,12830,05-25-2024 08:37:51,Singing River Electric
George County,93,93,12830,05-25-2024 08:52:51,Singing River Electric
George County,153,153,12830,05-25-2024 09:07:54,Singing River Electric
George County,153,153,12830,05-25-2024 09:22:53,Singing River Electric
George County,153,153,12830,05-25-2024 09:37:52,Singing River Electric
George County,153,153,12830,05-25-2024 09:52:53,Singing River Electric
George County,153,153,12830,05-25-2024 10:07:56,Singing River Electric
George County,153,153,12830,05-25-2024 10:22:58,Singing River Electric
George County,153,153,12830,05-25-2024 10:37:52,Singing River Electric
George County,153,153,12830,05-25-2024 10:52:53,Singing River Electric
George County,153,153,12830,05-25-2024 11:07:54,Singing River Electric
Jackson County,29,29,55401,05-25-2024 11:22:57,Singing River Electric
George County,153,153,12830,05-25-2024 11:22:57,Singing River Electric
Jackson County,29,29,55401,05-25-2024 11:37:53,Singing River Electric
George County,153,153,12830,05-25-2024 11:37:53,Singing River Electric
Jackson County,29,29,55401,05-25-2024 11:52:54,Singing River Electric
George County,153,153,12830,05-25-2024 11:52:54,Singing River Electric
George County,153,153,12830,05-25-2024 12:07:55,Singing River Electric
George County,153,153,12830,05-25-2024 12:22:56,Singing River Electric
George County,1,1,12830,05-25-2024 12:52:57,Singing River Electric
Jackson County,3,3,55401,05-25-2024 13:07:57,Singing River Electric
George County,1,1,12830,05-25-2024 13:07:57,Singing River Electric
Jackson County,3,3,55401,05-25-2024 13:22:57,Singing River Electric
George County,1,1,12830,05-25-2024 13:22:57,Singing River Electric
Jackson County,5,5,55401,05-25-2024 14:38:01,Singing River Electric
Jackson County,5,5,55401,05-25-2024 14:52:59,Singing River Electric
Jackson County,5,5,55402,05-25-2024 15:07:58,Singing River Electric
Jackson County,5,5,55402,05-25-2024 15:23:17,Singing River Electric
Jackson County,5,5,55402,05-25-2024 15:38:03,Singing River Electric
Jackson County,5,5,55402,05-25-2024 15:53:01,Singing River Electric
Jackson County,5,5,55402,05-25-2024 16:07:57,Singing River Electric
George County,2,2,12830,05-25-2024 18:37:58,Singing River Electric
George County,2,2,12830,05-25-2024 18:52:59,Singing River Electric
George County,2,2,12830,05-25-2024 19:07:57,Singing River Electric
George County,2,2,12830,05-25-2024 19:22:58,Singing River Electric
George County,2,2,12830,05-25-2024 19:37:58,Singing River Electric
Jackson County,1,1,55404,05-25-2024 19:53:00,Singing River Electric
Jackson County,1,1,55404,05-25-2024 20:07:59,Singing River Electric
Jackson County,1,1,55404,05-25-2024 20:22:59,Singing River Electric
Jackson County,1,1,55404,05-25-2024 20:37:58,Singing River Electric
Jackson County,1,1,55404,05-25-2024 20:53:00,Singing River Electric
Jackson County,1,1,55404,05-25-2024 21:08:00,Singing River Electric
Jackson County,1,1,55404,05-25-2024 21:23:01,Singing River Electric
George County,1,1,12831,05-25-2024 22:52:56,Singing River Electric
George County,3,3,12831,05-25-2024 23:07:57,Singing River Electric
George County,3,3,12831,05-25-2024 23:22:58,Singing River Electric
George County,3,3,12831,05-25-2024 23:37:56,Singing River Electric
Jackson County,1,1,55408,05-26-2024 11:38:06,Singing River Electric
Jackson County,1,1,55408,05-26-2024 11:53:06,Singing River Electric
Jackson County,1,1,55408,05-26-2024 12:08:06,Singing River Electric
Jackson County,1,1,55408,05-26-2024 12:23:09,Singing River Electric
George County,1,1,12831,05-26-2024 12:23:09,Singing River Electric
Jackson County,1,1,55408,05-26-2024 12:38:08,Singing River Electric
George County,1,1,12831,05-26-2024 12:38:08,Singing River Electric
George County,11,11,12831,05-26-2024 12:53:06,Singing River Electric
George County,11,11,12831,05-26-2024 13:08:10,Singing River Electric
George County,11,11,12831,05-26-2024 13:22:53,Singing River Electric
George County,1,1,12831,05-26-2024 13:37:54,Singing River Electric
George County,1,1,12831,05-26-2024 13:52:55,Singing River Electric
George County,2,2,12831,05-26-2024 14:07:55,Singing River Electric
George County,2,2,12831,05-26-2024 14:22:53,Singing River Electric
George County,1,1,12831,05-26-2024 17:38:08,Singing River Electric
George County,1,1,12831,05-26-2024 17:52:51,Singing River Electric
George County,1,1,12831,05-26-2024 18:07:54,Singing River Electric
George County,1,1,12831,05-26-2024 18:22:53,Singing River Electric
Greene County,1,1,6553,05-26-2024 19:07:54,Singing River Electric
Greene County,3,3,6553,05-26-2024 19:22:55,Singing River Electric
Greene County,3,3,6553,05-26-2024 19:38:10,Singing River Electric
Greene County,3,3,6553,05-26-2024 19:53:10,Singing River Electric
Jackson County,1,1,55409,05-26-2024 22:22:55,Singing River Electric
Jackson County,1,1,55409,05-26-2024 22:38:07,Singing River Electric
Jackson County,1,1,55409,05-26-2024 22:53:06,Singing River Electric
Jackson County,1,1,55409,05-26-2024 23:08:06,Singing River Electric
Jackson County,1,1,55409,05-26-2024 23:22:53,Singing River Electric
George County,2,2,12831,05-26-2024 23:22:53,Singing River Electric
Jackson County,1,1,55409,05-26-2024 23:37:55,Singing River Electric
George County,2,2,12831,05-26-2024 23:37:55,Singing River Electric
Jackson County,1,1,55409,05-26-2024 23:52:52,Singing River Electric
George County,2,2,12831,05-26-2024 23:52:52,Singing River Electric
George County,2,2,12831,05-27-2024 00:07:56,Singing River Electric
George County,2,2,12831,05-27-2024 00:22:53,Singing River Electric
Jackson County,3,3,55409,05-27-2024 02:37:53,Singing River Electric
