name,customersAffected,customersOutNow,customersServed,timestamp,EMC
Randolph,560,0,3686,05-23-2024 17:08:02,Tallapoosa River Electric Coop
Lee,1,1,9164,05-23-2024 17:08:02,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 17:08:02,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 17:23:03,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 17:23:03,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 17:38:02,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 17:38:02,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 17:53:01,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 17:53:01,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 18:08:01,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 18:08:01,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 18:22:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 18:22:58,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 18:37:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 18:37:58,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 18:52:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 18:52:58,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 19:08:02,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 19:08:02,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 19:22:59,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 19:22:59,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 19:38:01,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 19:38:01,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 19:55:08,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 19:55:08,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 20:08:00,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 20:08:00,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 20:25:07,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 20:25:07,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 20:38:00,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 20:38:00,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 20:52:59,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 20:52:59,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 21:08:00,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 21:08:00,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 21:22:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 21:22:58,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 21:38:00,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 21:38:00,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 21:52:59,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 21:52:59,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 22:07:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 22:07:58,Tallapoosa River Electric Coop
Randolph,560,0,3686,05-23-2024 22:22:58,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 22:22:58,Tallapoosa River Electric Coop
Randolph,559,0,3684,05-23-2024 22:37:59,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 22:37:59,Tallapoosa River Electric Coop
Randolph,559,0,3684,05-23-2024 22:52:59,Tallapoosa River Electric Coop
Cleburne,61,0,64,05-23-2024 22:52:59,Tallapoosa River Electric Coop
Randolph,559,0,3684,05-23-2024 23:08:03,Tallapoosa River Electric Coop
